"filename", "language", "XML", "CMake", "C++", "Dart", "YAML", "Swift", "comment", "blank", "total"
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/assets/tiles/Level_13.tmx", "XML", 13, 0, 0, 0, 0, 0, 0, 0, 13
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/app_theme.dart", "Dart", 0, 0, 0, 6, 0, 0, 0, 2, 8
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/data/audio/audio_center.dart", "Dart", 0, 0, 0, 116, 0, 0, 9, 31, 156
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/data/storage/entities/settings_entity.dart", "Dart", 0, 0, 0, 26, 0, 0, 0, 1, 27
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/data/storage/storage_center.dart", "Dart", 0, 0, 0, 14, 0, 0, 1, -1, 14
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/extensions/build_context.dart", "Dart", 0, 0, 0, -7, 0, 0, 0, -2, -9
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/extensions/int_double_extensions.dart", "Dart", 0, 0, 0, -9, 0, 0, 0, -3, -12
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/animations/star.dart", "Dart", 0, 0, 0, 6, 0, 0, 0, -1, 5
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/checkpoints/checkpoint.dart", "Dart", 0, 0, 0, 2, 0, 0, 0, 1, 3
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/checkpoints/finish.dart", "Dart", 0, 0, 0, 3, 0, 0, 0, 1, 4
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/collision/collision.dart", "Dart", 0, 0, 0, -4, 0, 0, 0, 1, -3
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/enemies/blue_bird.dart", "Dart", 0, 0, 0, 4, 0, 0, 2, 2, 8
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/enemies/chicken.dart", "Dart", 0, 0, 0, 2, 0, 0, 1, 1, 4
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/enemies/ghost.dart", "Dart", 0, 0, 0, 2, 0, 0, 1, 1, 4
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/enemies/ghost_particle.dart", "Dart", 0, 0, 0, 2, 0, 0, 0, 1, 3
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/enemies/mushroom.dart", "Dart", 0, 0, 0, 2, 0, 0, 1, 1, 4
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/enemies/plant.dart", "Dart", 0, 0, 0, 2, 0, 0, 1, 1, 4
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/enemies/slime_particle.dart", "Dart", 0, 0, 0, 7, 0, 0, 0, 1, 8
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/enemies/snail.dart", "Dart", 0, 0, 0, 3, 0, 0, 3, 2, 8
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/enemies/trunk.dart", "Dart", 0, 0, 0, 2, 0, 0, 1, 1, 4
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/enemies/trunk_bullet.dart", "Dart", 0, 0, 0, -2, 0, 0, 0, 0, -2
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/enemies/turtle.dart", "Dart", 0, 0, 0, 2, 0, 0, 1, 1, 4
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/hud/entity_on_mini_map.dart", "Dart", 0, 0, 0, 11, 0, 0, 32, 3, 46
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/hud/game_hud.dart", "Dart", 0, 0, 0, -3, 0, 0, 1, 0, -2
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/hud/mini_map.dart", "Dart", 0, 0, 0, 52, 0, 0, 36, 10, 98
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/hud/mini_map_arrow_layer.dart", "Dart", 0, 0, 0, 59, 0, 0, 24, 14, 97
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/hud/pause_route.dart", "Dart", 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/hud/settings_route.dart", "Dart", 0, 0, 0, 157, 0, 0, 18, 26, 201
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/level/background_colored.dart", "Dart", 0, 0, 0, 0, 0, 0, 1, 0, 1
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/level/background_szene.dart", "Dart", 0, 0, 0, 7, 0, 0, 2, 3, 12
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/level/level.dart", "Dart", 0, 0, 0, -5, 0, 0, 10, 0, 5
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/level/loading_overlay.dart", "Dart", 0, 0, 0, 0, 0, 0, 1, 0, 1
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/level/player.dart", "Dart", 0, 0, 0, 15, 0, 0, 0, -1, 14
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/level/player_special_effect.dart", "Dart", 0, 0, 0, 0, 0, 0, 1, 0, 1
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/traps/arrow_up.dart", "Dart", 0, 0, 0, 4, 0, 0, 0, 0, 4
"/Users/tjarkgomolla/Development/Flutter/pixel_adventure/lib/game/traps/fire_trap.dart", "Dart", 0, 0, 0, 2, 0, 0, 0, 0, 2
